item_id	cate1_id	cate2_id	cate3_id
37392888990c22b43962210cdcd54214	3	23	92
4d1c0a2a597d0360d12f42a15875613d	3	26	1387
78daa10add22fcdf33a8974bd1a6a2fa	3	23	96
f6f8abfe9a6c17e25d5820f38def1ab4	3	26	1387
5d5e30daca51c0d66ba41bdd914d7982	3	23	92
e9458fb6d509b6ac1b5871cfd7911fee	3	30	306
4a1f10a570761b4c87f5216dd99fcb77	3	23	92
055ad3df27920799357c4af3d2c27692	3	23	89
88cd63d2cb6d9310eff244cafb1d43e5	3	23	92
8935a0c4051c0c20ff1e3d926c5eb352	3	23	92
5ed165861625e99388c67c76d084958d	3	590	431
bd58abd955dbab7c569ee75fe06fbf2f	3	23	432
3035e1afa155566064d4d911f9fd17ab	3	23	92
bf576a2402f9f1beb62a0adbeb5b4989	3	23	426
4a701c3d562f3c1b000fdcd580f1227d	3	23	92
eb671b8f485af0e57cc40dc8fe15f55e	3	590	432
afe1500653ec682b3ce7e0b9f39bed89	3	23	92
901f3f0a4a43552affe06d63c4ffa646	3	22	94
58be507287d89a842e6f445edb265ed3	3	23	92
76fefa236b8e06fa856ab169b6b20d35	3	23	102
0eeab2c233e6432d15e672ed9a53dfce	3	23	89
4b3785d12b2cb694b8e1e79743bd924c	3	23	92
8cc4f456802f7cd2af894cf9600e38ab	3	24	92
ce58ef9c7eb49289d831d85485341368	3	23	89
7c0e0786e89b8c415a99a69a062cb358	3	23	92
081ab70f45ee0389f217dc867da570c6	3	23	426
021fdba53f4a4cc42c32d6c4c36b774b	3	23	92
94f664baf09e8591ea2883e7a31adfd6	571	23	107
237b6653eb4e6d9d13190ec65c014cb3	3	22	92
81ac31d9557431fe0bd314fa1371337b	3	23	102
783148ec65f45796f2cdf3061c63019c	5	36	92
82651be272ef370e55a122a3c009a84b	3	590	432
32506fabd7e6bd91d75c0aef9dd35963	3	590	432
9d366fc359cc15573d52034246db7621	3	23	92
1edf3ac26fa39013b872de9c65014909	3	30	306
f9096ac1d43a14f035cbf3362a3310a6	3	23	92
0b8781e381d77ed52b18885e169a2429	3	2341	101
739e0284cafa1a6a74d05613b877cd11	3	23	92
327b0aa4f56094c0b4ef3e1f5144461d	3	23	92
21b88d6f5f12d81a56779e8f352f230f	3	23	1367
abf1f15f3b693b85a047cb6259f671eb	3	22	269
0616b154d5c2d9f7df48b65c20ccbf84	3	22	1374
06a30b80272f9fdc6441c17c8645ecf3	3	23	89
